Wavel.,Raw Data,Fit Data,Brilliant Violet 605 (BV605) fit,Alexa Fluor 647 fit,Alexa Fluor 750 fit,Alexa Fluor 488 fit,Brilliant Violet 605 (BV605) coeff,Alexa Fluor 647 coeff,Alexa Fluor 750 coeff,Alexa Fluor 488 coeff
504,16954.987498369064,17387.409300553125,207.02612818833617,0.0,0.0,17180.38317236479,,,,
505,18082.11319447613,19043.31553213623,200.09500214715618,0.0,0.0,18843.220529989074,,,,
506,20557.956269916154,20815.41009816718,192.97341925073556,0.0,0.0,20622.436678916445,,,,
507,21815.63071618586,22547.457437095854,188.75256594625017,0.0,0.0,22358.704871149603,,,,
508,24537.174600691324,24324.95815483288,184.26250439754008,0.0,0.0,24140.69565043534,,,,
509,25096.43891262131,25882.00297624429,179.7924112089392,0.0,0.0,25702.21056503535,,,,
510,27350.80423633441,27545.943004990906,175.49804572397167,0.0,0.0,27370.444959266933,,,,
511,29381.42425298604,28913.35201231514,170.720874559891,0.0,0.0,28742.63113775525,,,,
512,30529.773525330857,30186.288971578815,166.34879118042107,0.0,0.0,30019.940180398393,,,,
513,32014.79686370368,31361.58996783429,162.6809791276076,0.0,0.0,31198.908988706684,,,,
514,33119.89386851969,32290.574861410543,160.5698091410142,0.0,0.0,32130.005052269527,,,,
515,33347.43662083446,33044.74669973332,156.6379053590211,0.0,0.0,32888.1087943743,,,,
516,33684.52687165133,33695.91560945982,153.91431444547354,0.0,0.0,33542.00129501435,,,,
517,33699.018797961005,34206.71808446072,151.9291189762805,0.0,0.0,34054.78896548444,,,,
518,34805.63758905881,34560.6393197888,148.2655423213882,0.0,0.0,34412.373777467415,,,,
519,34770.51223416638,34679.86460221207,145.48320103125667,0.0,0.0,34534.381401180806,,,,
520,35029.48029021998,34738.46467925692,142.07617095267685,0.0,0.0,34596.38850830424,,,,
521,35148.65354083683,34603.81971269285,139.3991283535327,0.0,0.0,34464.420584339314,,,,
522,34446.38357182923,34242.375843775386,136.8512745435205,0.0,0.0,34105.524569231864,,,,
523,33631.296570646446,33787.5636988217,133.8956406190895,0.0,0.0,33653.66805820261,,,,
524,33287.528446917626,33335.79439906747,130.08729854808848,0.0,0.0,33205.70710051938,,,,
525,32946.96837891315,32744.535840537235,125.7945270885972,0.0,0.0,32618.741313448638,,,,
526,32207.61578817864,32041.224247245573,122.59966912293282,0.0,0.0,31918.62457812264,,,,
527,31613.018116701296,31393.628488192884,120.4375937200213,0.0,0.0,31273.190894472864,,,,
528,31670.960647720127,30613.915197561037,116.870061800023,0.0,0.0,30497.045135761015,,,,
529,30145.23237809877,29854.544278341153,113.85922670408762,0.0,0.0,29740.685051637065,,,,
530,28397.40925854444,28946.296661364522,110.51820718951069,0.0,0.0,28835.77845417501,,,,
